quote_count,name,created,text,user_screen_name,hashtags,retweet_count,tweet_id,reply_count,_id,link_to_count,favorite_count
0,🕉️ Giri 🇮🇳,2018-12-15 07:23:35,"RT @NaIna0806: This Jain Munni is seething with anger on Virat Hindus, NOTA advocates over the losses in MP, Rajasthan, Chattisgarh Electio…",SirGiridhar,[],0,1073840981810700288,0,5c14ac0271cf94156cfa625d,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,SufyAN Baadshah✌,2018-12-15 07:23:35,RT @AmitChavdaINC: Congratulations &amp; Best wishes to @ashokgehlot51 ji and @SachinPilot ji as they embark on their journey to take Rajasthan…,BaadshahSufyan,[],0,1073840982783737857,0,5c14ac0271cf94156cfa625f,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Hemendra Malviya INC,2018-12-15 07:23:36,RT @ashokgehlot51: Thank you @INCIndia for your goodwishes. https://t.co/BM2J7zF0XU,MalviyaHemendra,[],0,1073840983253479426,0,5c14ac0271cf94156cfa6261,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Madhavan,2018-12-15 07:23:37,RT @KanchanGupta: Yogi had a 69% strike rate: 74 rallies in #AssemblyElections2018 with 51 wins for BJP. Strike rate would be higher if you…,mnchalat,"[{u'indices': [60, 82], u'text': u'AssemblyElections2018'}]",0,1073840990174076929,0,5c14ac0371cf94156cfa6263,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,•,2018-12-15 07:25:08,RT @RahulGandhi: The united colours of Rajasthan! https://t.co/D1mjKaaBsa,aamirspk2,[],0,1073841369217622021,0,5c14ac5e71cf941584d62ebc,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
0,Vinod Kumar Dixit,2018-12-15 07:25:08,RT @RahulGandhi: The united colours of Rajasthan! https://t.co/D1mjKaaBsa,VinodKumarDix10,[],0,1073841370480152576,0,5c14ac5e71cf941584d62ebe,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Sanny,2018-12-15 07:25:15,RT @mjakbar: Someone asked a good question. If experience is essential in Rajasthan and MP why is it not necessary for Congress President j…,sanny2023,[],0,1073841402268827653,0,5c14ac6671cf941584d62ec0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Pride Motors,2018-12-15 07:25:16,"RT @khaleejtimes: #Congress picks #Gehlot as #Rajasthan CM, Pilot to be his deputy. The question of leadership is understood to have been s…",MotorsPride,"[{u'indices': [18, 27], u'text': u'Congress'}, {u'indices': [34, 41], u'text': u'Gehlot'}, {u'indices': [45, 55], u'text': u'Rajasthan'}]",0,1073841406123364352,0,5c14ac6771cf941584d62ec2,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0
0,Devesh Bhalla,2018-12-15 07:26:52,India's first cow minister Otaram Dewasi loses Sirohi seat in Rajasthan https://t.co/4qL7VXyt5H,deveshbhalla03,[],0,1073841805152657408,0,5c14acc671cf94159b02ce41,"<a href=""http://twibble.io"" rel=""nofollow"">Twibble.io</a>",0
0,Prahalad Soni,2018-12-15 07:26:52,Ab technical helper ki bumper vecency nikalo sir g,Prahala25772741,[],0,1073841805739749377,0,5c14acc671cf94159b02ce43,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Manoj Nayak,2018-12-15 07:26:53,"RT @mla_sudhakar: The veteran leader, Shri @ashokgehlot51 has been elected as the Chief Minister of Rajasthan. Wishing him the best as he e…",kiccha_manu653,[],0,1073841810382835715,0,5c14acc771cf94159b02ce45,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Phanikumar,2018-12-15 11:50:41,RT @KanchanGupta: Yogi had a 69% strike rate: 74 rallies in #AssemblyElections2018 with 51 wins for BJP. Strike rate would be higher if you…,Phaniku12712886,"[{u'indices': [60, 82], u'text': u'AssemblyElections2018'}]",0,1073908199613435904,0,5c14eaa071cf9410d12dc2d2,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",0
0,Sanjay,2018-12-15 11:50:41,Hartley CONGRATULATIONS sir victory maker of Rajasthan @SachinPilot https://t.co/zKVIg5tRgQ,Sanjay44302683,[],0,1073908199160336384,0,5c14eaa071cf9410d12dc2d4,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Jai Bajrang Bali,2018-12-15 11:50:42,"RT @sri9011: In 2004, BJP had just 3 states of MP, Rajasthan and Chattisgarh apart from Gujarat and there was misplaced optimism that BJP w…",sarangthacker,[],0,1073908200985059328,0,5c14eaa071cf9410d12dc2d6,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Sammy S 🇮🇳,2018-12-15 11:50:46,RT @KanchanGupta: Yogi had a 69% strike rate: 74 rallies in #AssemblyElections2018 with 51 wins for BJP. Strike rate would be higher if you…,Atheistsammy,"[{u'indices': [60, 82], u'text': u'AssemblyElections2018'}]",0,1073908217749549058,0,5c14eaa471cf9410d12dc2d8,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,RINKU KUMAR YADAV,2018-12-15 11:50:46,RT @RGGupta9: https://t.co/QKTA5nYITp,Rikkuyadav,[],0,1073908219398029312,0,5c14eaa471cf9410d12dc2da,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,Ajaat Jamwal🇮🇳,2018-12-15 11:50:47,RT @vijayvaani: Dear @RahulGandhi congratulations on resolving Rajasthan leadership issue. Now please tell us if @SachinPilot is going to p…,SaveSabrimala,[],0,1073908224724738048,0,5c14eaa671cf9410d12dc2dc,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
0,bharat,2018-12-15 11:50:48,RT @mjakbar: Someone asked a good question. If experience is essential in Rajasthan and MP why is it not necessary for Congress President j…,bobviba,[],0,1073908226284896256,0,5c14eaa671cf9410d12dc2de,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",0
